id,RSRP,RSRQ,SINR,earfcn,latitude,longitude,altitude
209,-64,-11,8,643488,37.6106715,126.9964876,124.47
210,-64,-11,8,643488,37.610672,126.9964866,124.46
211,-64,-11,8,643488,37.6106785,126.9964748,124.44
212,-64,-11,8,643488,37.6106789,126.9964737,124.42
213,-64,-11,8,643488,37.6106797,126.9964718,124.45
214,-64,-11,8,643488,37.6106798,126.9964707,124.46
215,-64,-11,8,643488,37.6106801,126.9964696,124.42
216,-64,-11,8,643488,37.6106804,126.9964687,124.4
217,-64,-11,8,643488,37.6106806,126.996468,124.4
218,-64,-11,8,643488,37.6106809,126.9964667,124.38
219,-64,-11,8,643488,37.6106808,126.9964663,124.39
220,-64,-11,8,643488,37.61068,126.9964672,124.21
221,-64,-11,8,643488,37.6106802,126.996467,124.2
222,-64,-11,8,643488,37.6106808,126.9964659,124.19
223,-64,-11,8,643488,37.6106813,126.9964648,124.15
224,-64,-11,8,643488,37.6106819,126.9964634,124.14
225,-64,-11,8,643488,37.6106826,126.9964622,124.1
226,-64,-11,8,643488,37.6106839,126.9964597,124.11
227,-64,-11,8,643488,37.6106846,126.9964584,124.09
228,-64,-11,8,643488,37.6106853,126.996457,124.08
229,-64,-11,8,643488,37.6106933,126.9964366,124.0
230,-64,-11,8,643488,37.6106937,126.9964354,124.01
231,-64,-11,8,643488,37.6106942,126.9964334,124.02
232,-64,-11,8,643488,37.6106944,126.9964326,124.03
233,-64,-11,8,643488,37.6106945,126.996432,124.04
234,-64,-11,8,643488,37.6106946,126.9964315,124.04
235,-64,-11,8,643488,37.6106947,126.9964312,124.01
236,-64,-11,8,643488,37.6106947,126.9964312,124.0
237,-64,-11,8,643488,37.6106948,126.9964314,123.99
238,-64,-11,8,643488,37.6106964,126.996428,124.03
239,-64,-11,8,643488,37.6106967,126.9964271,124.02
240,-64,-11,8,643488,37.6106975,126.996425,124.03
241,-64,-11,8,643488,37.6106977,126.996424,124.07
242,-64,-11,8,643488,37.610698,126.996423,124.07
243,-64,-11,8,643488,37.6106983,126.996422,124.08
244,-64,-11,8,643488,37.610699,126.9964198,124.07
245,-64,-11,8,643488,37.6106995,126.9964186,124.08
246,-64,-11,8,643488,37.6106998,126.9964175,124.1
247,-64,-11,8,643488,37.6107023,126.9964085,123.87
248,-64,-11,8,643488,37.6107025,126.9964084,123.86
249,-64,-11,8,643488,37.6107029,126.9964079,123.87
250,-64,-11,8,643488,37.6107032,126.9964077,123.84
251,-64,-11,8,643488,37.6107037,126.9964072,123.86
252,-64,-11,8,643488,37.6107042,126.9964067,123.86
253,-64,-11,8,643488,37.6107056,126.9964047,123.86
254,-64,-11,8,643488,37.6107063,126.9964035,123.87
255,-64,-11,8,643488,37.610707,126.9964025,123.89
256,-64,-11,8,643488,37.6107135,126.9963864,124.03
257,-64,-11,8,643488,37.610714,126.996385,124.02
258,-64,-11,8,643488,37.610715,126.9963823,124.02
259,-64,-11,8,643488,37.6107156,126.9963809,124.02
260,-64,-11,8,643488,37.6107163,126.9963795,124.01
261,-64,-11,8,643488,37.6107171,126.9963781,124.0
262,-64,-11,8,643488,37.6107184,126.9963756,124.02
263,-64,-11,8,643488,37.6107191,126.9963745,124.03
264,-64,-11,8,643488,37.6107197,126.9963732,124.03
265,-64,-11,8,643488,37.6107273,126.9963566,124.15
266,-64,-11,8,643488,37.610728,126.996355,124.14
267,-64,-11,8,643488,37.6107288,126.9963532,124.12
268,-64,-11,8,643488,37.6107306,126.9963497,124.14
269,-64,-11,8,643488,37.6107314,126.996348,124.12
270,-64,-11,8,643488,37.6107322,126.9963464,124.14
271,-64,-11,8,643488,37.6107329,126.996345,124.13
272,-64,-11,8,643488,37.610734,126.9963422,124.11
273,-64,-11,8,643488,37.6107345,126.9963409,124.12
274,-64,-11,8,643488,37.6107416,126.996321,124.08
275,-64,-11,8,643488,37.6107424,126.9963194,124.11
276,-64,-11,8,643488,37.6107432,126.9963177,124.11
277,-64,-11,8,643488,37.6107446,126.9963145,124.13
278,-64,-11,8,643488,37.6107453,126.9963129,124.13
279,-64,-11,8,643488,37.6107458,126.9963114,124.1
280,-64,-11,8,643488,37.6107465,126.9963099,124.1
281,-64,-11,8,643488,37.6107476,126.9963072,124.07
282,-64,-11,8,643488,37.6107483,126.9963059,124.13
283,-64,-11,8,643488,37.6107542,126.9962916,124.21
284,-64,-11,8,643488,37.6107545,126.9962904,124.22
285,-64,-11,8,643488,37.6107556,126.9962881,124.26
286,-64,-11,8,643488,37.6107561,126.9962869,124.27
287,-64,-11,8,643488,37.6107566,126.9962857,124.28
288,-64,-11,8,643488,37.6107571,126.9962844,124.3
289,-64,-11,8,643488,37.6107582,126.9962816,124.29
290,-64,-11,8,643488,37.6107589,126.9962803,124.28
291,-64,-11,8,643488,37.6107595,126.9962788,124.27
292,-64,-11,8,643488,37.6107681,126.9962608,124.1
293,-64,-11,8,643488,37.6107686,126.9962594,124.08
294,-64,-11,8,643488,37.6107694,126.9962566,124.08
295,-64,-11,8,643488,37.6107698,126.9962552,124.08
296,-64,-11,8,643488,37.6107703,126.9962537,124.08
297,-64,-11,8,643488,37.6107708,126.9962523,124.08
298,-64,-11,8,643488,37.610772,126.9962493,124.04
299,-64,-11,8,643488,37.6107726,126.9962476,124.05
300,-64,-11,8,643488,37.6107795,126.9962311,123.96
301,-64,-11,8,643488,37.6107807,126.9962291,123.93
302,-64,-11,8,643488,37.6107811,126.9962284,123.92
303,-64,-11,8,643488,37.6107813,126.9962279,123.92
304,-64,-11,8,643488,37.6107816,126.9962273,123.9
305,-64,-11,8,643488,37.6107818,126.9962269,123.9
306,-64,-11,8,643488,37.6107818,126.9962265,123.89
307,-64,-11,8,643488,37.610782,126.996226,123.91
308,-64,-11,8,643488,37.6107827,126.9962246,123.9
309,-64,-11,8,643488,37.6107926,126.9962027,123.74
310,-64,-11,8,643488,37.6107931,126.9962012,123.74
311,-64,-11,8,643488,37.6107937,126.9962,123.74
312,-64,-11,8,643488,37.6107941,126.9961987,123.72
313,-64,-11,8,643488,37.610795,126.9961968,123.76
314,-64,-11,8,643488,37.6107954,126.9961959,123.76
315,-64,-11,8,643488,37.6107958,126.9961949,123.72
316,-64,-11,8,643488,37.6107961,126.9961941,123.72
317,-64,-11,8,643488,37.610803,126.9961827,123.82
318,-64,-11,8,643488,37.6108043,126.9961802,123.78
319,-64,-11,8,643488,37.610805,126.9961789,123.76
320,-64,-11,8,643488,37.6108057,126.9961776,123.73
321,-64,-11,8,643488,37.6108063,126.9961764,123.72
322,-64,-11,8,643488,37.6108069,126.9961753,123.72
323,-64,-11,8,643488,37.6108075,126.9961729,123.72
324,-64,-11,8,643488,37.6108079,126.9961718,123.73
325,-64,-11,8,643488,37.6108082,126.9961706,123.72
326,-64,-11,8,643488,37.6108138,126.9961537,123.73
327,-64,-11,8,643488,37.6108142,126.9961525,123.74
328,-64,-11,8,643488,37.6108151,126.9961499,123.75
329,-64,-11,8,643488,37.6108156,126.9961486,123.74
330,-64,-11,8,643488,37.6108161,126.9961472,123.73
331,-64,-11,8,643488,37.6108165,126.9961458,123.73
332,-64,-11,8,643488,37.6108174,126.996143,123.72
333,-64,-11,8,643488,37.6108179,126.9961414,123.71
334,-64,-11,8,643488,37.6108183,126.9961398,123.7
335,-64,-11,8,643488,37.6108238,126.9961249,123.79
336,-64,-11,8,643488,37.6108243,126.996124,123.82
337,-64,-11,8,643488,37.6108252,126.9961224,123.86
338,-64,-11,8,643488,37.6108256,126.9961216,123.87
339,-64,-11,8,643488,37.6108261,126.9961207,123.88
340,-64,-11,8,643488,37.6108265,126.9961199,123.9
341,-64,-11,8,643488,37.6108271,126.9961184,123.95
342,-64,-11,8,643488,37.6108274,126.9961178,123.95
343,-64,-11,8,643488,37.6108276,126.9961172,123.96
344,-64,-11,8,643488,37.6108286,126.9961141,123.94
345,-64,-11,8,643488,37.6108293,126.9961143,123.93
346,-64,-11,8,643488,37.6108297,126.9961144,123.93
347,-64,-11,8,643488,37.6108303,126.9961146,123.96
348,-64,-11,8,643488,37.6108309,126.9961149,123.97
349,-64,-11,8,643488,37.6108321,126.9961153,123.99
350,-64,-11,8,643488,37.6108327,126.9961157,123.98
351,-64,-11,8,643488,37.6108333,126.996116,123.98
352,-64,-11,8,643488,37.6108338,126.9961164,123.99
353,-64,-11,8,643488,37.6108436,126.9961222,123.93
354,-64,-11,8,643488,37.6108443,126.9961224,123.92
355,-64,-11,8,643488,37.6108458,126.9961232,123.87
356,-64,-11,8,643488,37.6108465,126.9961235,123.88
357,-64,-11,8,643488,37.610847,126.9961238,123.87
358,-64,-11,8,643488,37.6108477,126.9961242,123.84
359,-64,-11,8,643488,37.610849,126.9961249,123.84
360,-64,-11,8,643488,37.6108496,126.9961251,123.84
361,-64,-11,8,643488,37.6108612,126.9961319,123.93
362,-64,-11,8,643488,37.6108623,126.9961325,123.95
363,-64,-11,8,643488,37.6108633,126.9961333,123.95
364,-64,-11,8,643488,37.6108643,126.9961341,123.97
365,-64,-11,8,643488,37.6108664,126.9961355,123.98
366,-64,-11,8,643488,37.6108675,126.9961361,124.0
367,-64,-11,8,643488,37.6108684,126.9961368,124.0
368,-64,-11,8,643488,37.6108694,126.9961375,124.01
369,-64,-11,8,643488,37.6108711,126.9961387,123.99
370,-64,-11,8,643488,37.6108799,126.9961455,124.02
371,-64,-11,8,643488,37.6108821,126.9961469,124.07
372,-64,-11,8,643488,37.6108832,126.9961477,124.08
373,-64,-11,8,643488,37.6108842,126.9961484,124.07
374,-64,-11,8,643488,37.6108851,126.996149,124.08
375,-64,-11,8,643488,37.610887,126.9961501,124.06
376,-64,-11,8,643488,37.6108878,126.9961506,124.04
377,-64,-11,8,643488,37.6108887,126.996151,124.04
378,-64,-11,8,643488,37.6108897,126.9961515,124.04
379,-64,-11,8,643488,37.6109051,126.9961606,124.04
380,-64,-11,8,643488,37.6109058,126.9961613,124.05
381,-64,-11,8,643488,37.6109067,126.9961618,124.05
382,-64,-11,8,643488,37.6109087,126.9961629,124.1
383,-64,-11,8,643488,37.6109098,126.9961636,124.13
384,-64,-11,8,643488,37.610911,126.9961641,124.12
385,-64,-11,8,643488,37.6109119,126.9961646,124.16
386,-64,-11,8,643488,37.6109136,126.9961653,124.22
387,-64,-11,8,643488,37.6109146,126.9961656,124.23
388,-64,-11,8,643488,37.6109252,126.9961718,124.27
389,-64,-11,8,643488,37.610927,126.9961727,124.3
390,-64,-11,8,643488,37.6109278,126.9961732,124.33
391,-64,-11,8,643488,37.6109286,126.9961736,124.33
392,-64,-11,8,643488,37.6109298,126.9961747,124.35
393,-64,-11,8,643488,37.6109303,126.9961754,124.33
394,-64,-11,8,643488,37.6109307,126.996176,124.32
395,-64,-11,8,643488,37.6109311,126.9961767,124.3
396,-64,-11,8,643488,37.6109322,126.9961785,124.27
397,-64,-11,8,643488,37.6109437,126.9961878,124.27
398,-64,-11,8,643488,37.6109461,126.9961892,124.26
399,-64,-11,8,643488,37.6109471,126.99619,124.24
400,-64,-11,8,643488,37.610948,126.9961905,124.24
401,-64,-11,8,643488,37.610949,126.9961909,124.23
402,-64,-11,8,643488,37.6109507,126.9961914,124.22
403,-64,-11,8,643488,37.6109515,126.9961916,124.24
404,-64,-11,8,643488,37.610952,126.9961918,124.26
405,-64,-11,8,643488,37.6109519,126.9961934,124.38
406,-64,-11,8,643488,37.6109515,126.9961942,124.37
407,-64,-11,8,643488,37.6109509,126.9961952,124.37
408,-64,-11,8,643488,37.6109496,126.9961979,124.39
409,-64,-11,8,643488,37.6109488,126.9961996,124.37
410,-64,-11,8,643488,37.610948,126.9962015,124.37
411,-64,-11,8,643488,37.6109472,126.9962034,124.39
412,-64,-11,8,643488,37.6109454,126.9962073,124.44
413,-64,-11,8,643488,37.6109445,126.9962092,124.45
414,-64,-11,8,643488,37.6109341,126.9962369,124.36
415,-64,-11,8,643488,37.6109335,126.9962387,124.33
416,-64,-11,8,643488,37.6109325,126.996242,124.3
417,-64,-11,8,643488,37.6109319,126.9962434,124.33
418,-64,-11,8,643488,37.6109312,126.9962448,124.35
419,-64,-11,8,643488,37.6109305,126.9962464,124.35
420,-64,-11,8,643488,37.6109288,126.9962492,124.37
421,-64,-11,8,643488,37.6109279,126.9962506,124.38
422,-64,-11,8,643488,37.610927,126.9962518,124.39
423,-64,-11,8,643488,37.6109217,126.9962667,124.42
424,-64,-11,8,643488,37.6109213,126.9962676,124.42
425,-64,-11,8,643488,37.6109207,126.9962688,124.42
426,-64,-11,8,643488,37.6109203,126.9962693,124.43
427,-64,-11,8,643488,37.6109199,126.9962697,124.43
428,-64,-11,8,643488,37.6109194,126.9962702,124.43
429,-64,-11,8,643488,37.6109182,126.9962715,124.45
430,-64,-11,8,643488,37.6109176,126.9962724,124.45
431,-64,-11,8,643488,37.610917,126.9962732,124.47
432,-64,-11,8,643488,37.6109128,126.9962877,124.49
433,-64,-11,8,643488,37.6109121,126.9962891,124.47
434,-64,-11,8,643488,37.6109105,126.9962919,124.43
435,-64,-11,8,643488,37.6109096,126.9962931,124.46
436,-64,-11,8,643488,37.6109086,126.9962943,124.47
437,-64,-11,8,643488,37.6109078,126.9962956,124.51
438,-64,-11,8,643488,37.6109061,126.996298,124.57
439,-64,-11,8,643488,37.6109053,126.9962991,124.62
440,-64,-11,8,643488,37.6109047,126.9963004,124.61
441,-64,-11,8,643488,37.6109016,126.9963164,124.5
442,-64,-11,8,643488,37.610901,126.9963184,124.5
443,-64,-11,8,643488,37.6109007,126.9963193,124.5
444,-64,-11,8,643488,37.6109001,126.9963201,124.52
445,-64,-11,8,643488,37.6108996,126.9963209,124.51
446,-64,-11,8,643488,37.6108992,126.9963217,124.49
447,-64,-11,8,643488,37.6108983,126.9963235,124.49
448,-64,-11,8,643488,37.6108969,126.996331,124.47
449,-64,-11,8,643488,37.6108967,126.9963329,124.44
450,-64,-11,8,643488,37.6108967,126.9963339,124.44
451,-64,-11,8,643488,37.6108966,126.9963351,124.45
452,-64,-11,8,643488,37.6108963,126.9963365,124.45
453,-64,-11,8,643488,37.610896,126.9963391,124.45
454,-64,-11,8,643488,37.6108959,126.9963404,124.44
455,-64,-11,8,643488,37.6108956,126.9963417,124.45
456,-64,-11,8,643488,37.6108949,126.9963436,124.47
457,-64,-11,8,643488,37.6108932,126.9963438,124.54
458,-64,-11,8,643488,37.6108932,126.9963438,124.51
459,-64,-11,8,643488,37.6108932,126.9963438,124.49
460,-64,-11,8,643488,37.6108933,126.9963437,124.44
461,-64,-11,8,643488,37.6108937,126.9963436,124.3
462,-64,-11,8,643488,37.6108939,126.9963436,124.23
463,-64,-11,8,643488,37.6108939,126.9963435,124.2
464,-64,-11,8,643488,37.6108939,126.9963435,124.12
465,-64,-11,8,643488,37.6108942,126.9963437,124.1
466,-64,-11,8,643488,37.6108946,126.996344,123.42
467,-64,-11,8,643488,37.6108945,126.996344,123.31
468,-64,-11,8,643488,37.6108945,126.996344,123.25
469,-64,-11,8,643488,37.6108943,126.9963439,123.19
470,-64,-11,8,643488,37.6108941,126.9963438,123.12
471,-64,-11,8,643488,37.6108935,126.9963437,122.89
472,-64,-11,8,643488,37.6108933,126.9963436,122.81
473,-64,-11,8,643488,37.6108932,126.9963435,122.71
474,-64,-11,8,643488,37.6108931,126.9963436,122.6
475,-64,-11,8,643488,37.6108939,126.9963444,121.09
476,-64,-11,8,643488,37.6108936,126.9963435,120.86
477,-64,-11,8,643488,37.6108936,126.9963431,120.74
478,-64,-11,8,643488,37.6108937,126.9963429,120.61
479,-64,-11,8,643488,37.6108937,126.9963427,120.45
480,-64,-11,8,643488,37.6108939,126.9963434,120.22
481,-64,-11,8,643488,37.6108941,126.9963437,120.06
